species,genus,phylum,gene_target,hit_count,best_accession,best_title,query
Romboutsia ilealis,Romboutsia,Firmicutes,nirS,0,,,"(""nirS""[Title] OR ""cytochrome cd1 nitrite reductase""[Title] OR ""nitrite reductase, cytochrome cd1""[Title]) AND ""Romboutsia ilealis""[Organism]"
Lactobacillus johnsonii,Lactobacillus,Firmicutes,nirS,0,,,"(""nirS""[Title] OR ""cytochrome cd1 nitrite reductase""[Title] OR ""nitrite reductase, cytochrome cd1""[Title]) AND ""Lactobacillus johnsonii""[Organism]"
Nocardiopsis salina,Nocardiopsis,Actinobacteria,nirS,0,,,"(""nirS""[Title] OR ""cytochrome cd1 nitrite reductase""[Title] OR ""nitrite reductase, cytochrome cd1""[Title]) AND ""Nocardiopsis salina""[Organism]"
Salinicoccus carnicancri,Salinicoccus,Firmicutes,nirS,0,,,"(""nirS""[Title] OR ""cytochrome cd1 nitrite reductase""[Title] OR ""nitrite reductase, cytochrome cd1""[Title]) AND ""Salinicoccus carnicancri""[Organism]"
Anaerococcus obesiensis,Anaerococcus,Firmicutes,nirS,0,,,"(""nirS""[Title] OR ""cytochrome cd1 nitrite reductase""[Title] OR ""nitrite reductase, cytochrome cd1""[Title]) AND ""Anaerococcus obesiensis""[Organism]"
Weissella jogaejeotgali,Weissella,Firmicutes,nirS,0,,,"(""nirS""[Title] OR ""cytochrome cd1 nitrite reductase""[Title] OR ""nitrite reductase, cytochrome cd1""[Title]) AND ""Weissella jogaejeotgali""[Organism]"
Brevibacterium avium,Brevibacterium,Actinobacteria,nirS,0,,,"(""nirS""[Title] OR ""cytochrome cd1 nitrite reductase""[Title] OR ""nitrite reductase, cytochrome cd1""[Title]) AND ""Brevibacterium avium""[Organism]"
Anaerococcus porci,Anaerococcus,Firmicutes,nirS,0,,,"(""nirS""[Title] OR ""cytochrome cd1 nitrite reductase""[Title] OR ""nitrite reductase, cytochrome cd1""[Title]) AND ""Anaerococcus porci""[Organism]"
Brachybacterium conglomeratum,Brachybacterium,Actinobacteria,nirS,0,,,"(""nirS""[Title] OR ""cytochrome cd1 nitrite reductase""[Title] OR ""nitrite reductase, cytochrome cd1""[Title]) AND ""Brachybacterium conglomeratum""[Organism]"
Romboutsia timonensis,Romboutsia,Firmicutes,nirS,0,,,"(""nirS""[Title] OR ""cytochrome cd1 nitrite reductase""[Title] OR ""nitrite reductase, cytochrome cd1""[Title]) AND ""Romboutsia timonensis""[Organism]"
Brachybacterium squillarum,Brachybacterium,Actinobacteria,nirS,0,,,"(""nirS""[Title] OR ""cytochrome cd1 nitrite reductase""[Title] OR ""nitrite reductase, cytochrome cd1""[Title]) AND ""Brachybacterium squillarum""[Organism]"
Jeotgalicoccus aerolatus,Jeotgalicoccus,Firmicutes,nirS,0,,,"(""nirS""[Title] OR ""cytochrome cd1 nitrite reductase""[Title] OR ""nitrite reductase, cytochrome cd1""[Title]) AND ""Jeotgalicoccus aerolatus""[Organism]"
Staphylococcus simulans,Staphylococcus,Firmicutes,nirS,0,,,"(""nirS""[Title] OR ""cytochrome cd1 nitrite reductase""[Title] OR ""nitrite reductase, cytochrome cd1""[Title]) AND ""Staphylococcus simulans""[Organism]"
Ruoffia tabacinasalis,Ruoffia,Firmicutes,nirS,0,,,"(""nirS""[Title] OR ""cytochrome cd1 nitrite reductase""[Title] OR ""nitrite reductase, cytochrome cd1""[Title]) AND ""Ruoffia tabacinasalis""[Organism]"
Enterococcus cecorum,Enterococcus,Firmicutes,nirS,0,,,"(""nirS""[Title] OR ""cytochrome cd1 nitrite reductase""[Title] OR ""nitrite reductase, cytochrome cd1""[Title]) AND ""Enterococcus cecorum""[Organism]"
