species,genus,phylum,gene_target,hit_count,best_accession,best_title,query
Atopostipes suicloacalis,Atopostipes,Firmicutes,nirS,0,,,"(""nirS""[Title] OR ""cytochrome cd1 nitrite reductase""[Title] OR ""nitrite reductase, cytochrome cd1""[Title]) AND ""Atopostipes suicloacalis""[Organism]"
Brachybacterium faecium,Brachybacterium,Actinobacteria,nirS,0,,,"(""nirS""[Title] OR ""cytochrome cd1 nitrite reductase""[Title] OR ""nitrite reductase, cytochrome cd1""[Title]) AND ""Brachybacterium faecium""[Organism]"
Yaniella halotolerans,Yaniella,Actinobacteria,nirS,0,,,"(""nirS""[Title] OR ""cytochrome cd1 nitrite reductase""[Title] OR ""nitrite reductase, cytochrome cd1""[Title]) AND ""Yaniella halotolerans""[Organism]"
Nocardiopsis algeriensis,Nocardiopsis,Actinobacteria,nirS,0,,,"(""nirS""[Title] OR ""cytochrome cd1 nitrite reductase""[Title] OR ""nitrite reductase, cytochrome cd1""[Title]) AND ""Nocardiopsis algeriensis""[Organism]"
Nosocomiicoccus ampullae,Nosocomiicoccus,Firmicutes,nirS,0,,,"(""nirS""[Title] OR ""cytochrome cd1 nitrite reductase""[Title] OR ""nitrite reductase, cytochrome cd1""[Title]) AND ""Nosocomiicoccus ampullae""[Organism]"
Ligilactobacillus pobuzihii,Ligilactobacillus,Firmicutes,nirS,0,,,"(""nirS""[Title] OR ""cytochrome cd1 nitrite reductase""[Title] OR ""nitrite reductase, cytochrome cd1""[Title]) AND ""Ligilactobacillus pobuzihii""[Organism]"
Staphylococcus ureilyticus,Staphylococcus,Firmicutes,nirS,0,,,"(""nirS""[Title] OR ""cytochrome cd1 nitrite reductase""[Title] OR ""nitrite reductase, cytochrome cd1""[Title]) AND ""Staphylococcus ureilyticus""[Organism]"
Pseudogracilibacillus auburnensis,Pseudogracilibacillus,Firmicutes,nirS,0,,,"(""nirS""[Title] OR ""cytochrome cd1 nitrite reductase""[Title] OR ""nitrite reductase, cytochrome cd1""[Title]) AND ""Pseudogracilibacillus auburnensis""[Organism]"
Ligilactobacillus salivarius,Ligilactobacillus,Firmicutes,nirS,0,,,"(""nirS""[Title] OR ""cytochrome cd1 nitrite reductase""[Title] OR ""nitrite reductase, cytochrome cd1""[Title]) AND ""Ligilactobacillus salivarius""[Organism]"
Jeotgalicoccus meleagridis,Jeotgalicoccus,Firmicutes,nirS,0,,,"(""nirS""[Title] OR ""cytochrome cd1 nitrite reductase""[Title] OR ""nitrite reductase, cytochrome cd1""[Title]) AND ""Jeotgalicoccus meleagridis""[Organism]"
