species,mismatch_count_fwd,mismatch_count_rev,amplicon_length,status,boundary_irregular
Brucella intermedia,4,5,,no_match_order,False
Paracoccus pantotrophus,5,5,659,success,True
Paracoccus solventivorans,4,6,,no_match_order,False
Pelagivirga dicentrarchi,4,5,395,success,False
Bradyrhizobium viridifuturi,3,5,,no_match_order,False
Aquamicrobium ahrensii,4,5,,no_match_order,False
Mesorhizobium comanense,5,5,747,success,False
Bacillus paralicheniformis,5,5,872,success,False
Paenibacillus illinoisensis,6,6,289,success,False
Paenibacillus lautus,5,7,,no_match_rev,False
Paenibacillus odorifer,6,6,251,success,False
Paenibacillus polymyxa,5,6,,no_match_order,False
Paenibacillus senegalensis,5,7,,no_match_rev,False
Paenibacillus silvae,5,6,,no_match_order,False
Paenibacillus tyrfis,6,6,96,success,False
Paenibacillus vini,4,6,,no_match_order,False
Brevibacillus fluminis,6,6,38,success,False
Brevibacillus ginsengisoli,4,5,,no_match_order,False
Brevibacillus invocatus,4,5,489,success,False
Brevibacillus reuszeri,5,6,,no_match_order,False
Paenibacillus barcinonensis,5,6,,no_match_order,False
Paenibacillus bouchesdurhonensis,6,6,252,success,False
Kurthia gibsonii,4,7,,no_match_rev,False
Macrococcus goetzii,5,6,578,success,False
Macrococcus canis,4,6,,no_match_order,False
Kurthia huakuii,6,6,247,success,False
Kurthia zopfii,5,5,663,success,False
Savagea faecisuis,5,6,163,success,False
Sporosarcina globispora,4,6,,no_match_order,False
Cytobacillus solani,5,6,105,success,False
Geobacillus kaustophilus,4,5,,no_match_order,False
Bacillus cihuensis,6,7,,no_match_rev,False
Lysinibacillus pakistanensis,4,6,,no_match_order,False
Lysinibacillus xylanilyticus,5,6,,no_match_order,False
Cytobacillus oceanisediminis,5,6,,no_match_order,False
Bacillus thuringiensis,6,6,38,success,False
Bacillus pseudomycoides,5,7,,no_match_rev,False
Bacillus sanguinis,6,6,268,success,False
Bacillus stratosphericus,5,6,106,success,True
Bacillus toyonensis,5,7,,no_match_rev,False
Cytobacillus firmus,5,6,,no_match_order,False
Bacillus wiedmannii,6,7,,no_match_rev,False
Bacillus massilionigeriensis,6,5,112,success,False
Compostibacillus humi,5,7,,no_match_rev,False
Mesobacillus jeotgali,4,5,119,success,False
Mesobacillus thioparans,5,6,,no_match_order,False
Sphaerobacter thermophilus,5,6,36,success,False
Kaistella treverensis,5,5,101,success,False
Gelidibacter pelagius,5,7,,no_match_rev,False
Pontibacter virosus,5,5,161,success,False
Pontibacter flavimaris,4,6,105,success,False
Peribacillus loiseleuriae,6,5,343,success,False
Bacillus badius,6,7,,no_match_rev,False
Alkalihalobacterium elongatum,5,7,,no_match_rev,False
Bacillus proteolyticus,6,5,312,success,False
